specimen	original_order	reagent_status	tissue_type	vendor	shipment	duration	mouse	IL1a	IL4	IL17	TNFa	log_IL1a	log_IL4	log_IL17	log_TNFa
control_blank__XXXXXXX_XXX_XX_13	21	control	blank	XXXXXXX	XXX	XX	13								
control_blank__XXXXXXX_XXX_XX_14	22	control	blank	XXXXXXX	XXX	XX	14								
control_blank__XXXXXXX_XXX_XX_15	23	control	blank	XXXXXXX	XXX	XX	15								
control_blank__XXXXXXX_XXX_XX_16	24	control	blank	XXXXXXX	XXX	XX	16								
control_blank__XXXXXXX_XXX_XX_17	25	control	blank	XXXXXXX	XXX	XX	17								
control_blank__XXXXXXX_XXX_XX_19	26	control	blank	XXXXXXX	XXX	XX	19								
control_blank__XXXXXXX_XXX_XX_20	27	control	blank	XXXXXXX	XXX	XX	20								
control_blank__XXXXXXX_XXX_XX_18	28	control	blank	XXXXXXX	XXX	XX	18								
control_blank__XXXXXXX_XXX_XX_22	29	control	blank	XXXXXXX	XXX	XX	22								
control_blank__XXXXXXX_XXX_XX_23	30	control	blank	XXXXXXX	XXX	XX	23								
control_blank__XXXXXXX_XXX_XX_21	31	control	blank	XXXXXXX	XXX	XX	21								
control_blank__XXXXXXX_XXX_XX_24	32	control	blank	XXXXXXX	XXX	XX	24								
control_blank__XXXXXXX_XXX_XX_25	33	control	blank	XXXXXXX	XXX	XX	25								
control_blank__XXXXXXX_XXX_XX_26	34	control	blank	XXXXXXX	XXX	XX	26								
control_blank__XXXXXXX_XXX_XX_27	35	control	blank	XXXXXXX	XXX	XX	27								
control_blank__XXXXXXX_XXX_XX_29	36	control	blank	XXXXXXX	XXX	XX	29								
control_blank__XXXXXXX_XXX_XX_30	37	control	blank	XXXXXXX	XXX	XX	30								
control_blank__XXXXXXX_XXX_XX_28	38	control	blank	XXXXXXX	XXX	XX	28								
control_blank__XXXXXXX_XXX_XX_32	39	control	blank	XXXXXXX	XXX	XX	32								
control_blank__XXXXXXX_XXX_XX_33	40	control	blank	XXXXXXX	XXX	XX	33								
control_blank__XXXXXXX_XXX_XX_31	41	control	blank	XXXXXXX	XXX	XX	31								
control_blank__XXXXXXX_XXX_XX_36	42	control	blank	XXXXXXX	XXX	XX	36								
control_blank__XXXXXXX_XXX_XX_37	43	control	blank	XXXXXXX	XXX	XX	37								
control_blank__XXXXXXX_XXX_XX_34	44	control	blank	XXXXXXX	XXX	XX	34								
control_blank__XXXXXXX_XXX_XX_35	45	control	blank	XXXXXXX	XXX	XX	35								
control_blank__XXXXXXX_XXX_XX_38	46	control	blank	XXXXXXX	XXX	XX	38								
control_blank__XXXXXXX_XXX_XX_39	47	control	blank	XXXXXXX	XXX	XX	39								
control_blank__XXXXXXX_XXX_XX_40	48	control	blank	XXXXXXX	XXX	XX	40								
control_blank__XXXXXXX_XXX_XX_41	49	control	blank	XXXXXXX	XXX	XX	41								
control_blank__XXXXXXX_XXX_XX_42	50	control	blank	XXXXXXX	XXX	XX	42								
control_blank__XXXXXXX_XXX_XX_44	51	control	blank	XXXXXXX	XXX	XX	44								
control_blank__XXXXXXX_XXX_XX_45	52	control	blank	XXXXXXX	XXX	XX	45								
control_blank__XXXXXXX_XXX_XX_43	53	control	blank	XXXXXXX	XXX	XX	43								
control_blank__XXXXXXX_XXX_XX_47	54	control	blank	XXXXXXX	XXX	XX	47								
control_blank__XXXXXXX_XXX_XX_48	55	control	blank	XXXXXXX	XXX	XX	48								
control_blank__XXXXXXX_XXX_XX_46	56	control	blank	XXXXXXX	XXX	XX	46								
control_blank__XXXXXXX_XXX_XX_51	57	control	blank	XXXXXXX	XXX	XX	51								
control_blank__XXXXXXX_XXX_XX_52	58	control	blank	XXXXXXX	XXX	XX	52								
control_blank__XXXXXXX_XXX_XX_49	59	control	blank	XXXXXXX	XXX	XX	49								
control_blank__XXXXXXX_XXX_XX_50	60	control	blank	XXXXXXX	XXX	XX	50								
control_blank__XXXXXXX_XXX_XX_53	61	control	blank	XXXXXXX	XXX	XX	53								
control_blank__XXXXXXX_XXX_XX_54	62	control	blank	XXXXXXX	XXX	XX	54								
tissue__cecum__CharRiv_CR1_D1_01	63	tissue	cecum	CharRiv	CR1	D1	1	147	92	56	71	2.167317335	1.963787827	1.748188027	1.851258349
tissue__cecum__CharRiv_CR1_D1_02	64	tissue	cecum	CharRiv	CR1	D1	2	138	61	41	52	2.139879086	1.785329835	1.612783857	1.716003344
tissue__cecum__CharRiv_CR1_D1_03	65	tissue	cecum	CharRiv	CR1	D1	3	126	69	50	58	2.100370545	1.838849091	1.698970004	1.763427994
tissue__cecum__CharRiv_CR1_D1_04	66	tissue	cecum	CharRiv	CR1	D1	4	137	62	47	66	2.136720567	1.792391689	1.672097858	1.819543936
tissue__cecum__CharRiv_CR1_D1_05	67	tissue	cecum	CharRiv	CR1	D1	5	68	58	52	58	1.832508913	1.763427994	1.716003344	1.763427994
tissue__cecum__CharRiv_CR1_D1_06	68	tissue	cecum	CharRiv	CR1	D1	6	74	47	46	61	1.86923172	1.672097858	1.662757832	1.785329835
tissue__cecum__CharRiv_CR1_D1_07	69	tissue	cecum	CharRiv	CR1	D1	7	87	45	41	62	1.939519253	1.653212514	1.612783857	1.792391689
control_homog__XXXXXXX_XXX_D1_55	70	control	homog	XXXXXXX	XXX	D1	55								
tissue__lung___CharRiv_CR1_D1_01	71	tissue	lung	CharRiv	CR1	D1	1	147	92	56	71	2.167317335	1.963787827	1.748188027	1.851258349
tissue__lung___CharRiv_CR1_D1_02	72	tissue	lung	CharRiv	CR1	D1	2	138	61	41	52	2.139879086	1.785329835	1.612783857	1.716003344
tissue__lung___CharRiv_CR1_D1_03	73	tissue	lung	CharRiv	CR1	D1	3	126	69	50	58	2.100370545	1.838849091	1.698970004	1.763427994
tissue__lung___CharRiv_CR1_D1_04	74	tissue	lung	CharRiv	CR1	D1	4	137	62	47	66	2.136720567	1.792391689	1.672097858	1.819543936
tissue__lung___CharRiv_CR1_D1_05	75	tissue	lung	CharRiv	CR1	D1	5	68	58	52	58	1.832508913	1.763427994	1.716003344	1.763427994
tissue__lung___CharRiv_CR1_D1_06	76	tissue	lung	CharRiv	CR1	D1	6	74	47	46	61	1.86923172	1.672097858	1.662757832	1.785329835
tissue__lung___CharRiv_CR1_D1_07	77	tissue	lung	CharRiv	CR1	D1	7	87	45	41	62	1.939519253	1.653212514	1.612783857	1.792391689
tissue__tongue_CharRiv_CR1_D1_01	78	tissue	tongue	CharRiv	CR1	D1	1	147	92	56	71	2.167317335	1.963787827	1.748188027	1.851258349
tissue__tongue_CharRiv_CR1_D1_02	79	tissue	tongue	CharRiv	CR1	D1	2	138	61	41	52	2.139879086	1.785329835	1.612783857	1.716003344
tissue__tongue_CharRiv_CR1_D1_03	80	tissue	tongue	CharRiv	CR1	D1	3	126	69	50	58	2.100370545	1.838849091	1.698970004	1.763427994
tissue__tongue_CharRiv_CR1_D1_04	81	tissue	tongue	CharRiv	CR1	D1	4	137	62	47	66	2.136720567	1.792391689	1.672097858	1.819543936
tissue__tongue_CharRiv_CR1_D1_05	82	tissue	tongue	CharRiv	CR1	D1	5	68	58	52	58	1.832508913	1.763427994	1.716003344	1.763427994
tissue__tongue_CharRiv_CR1_D1_06	83	tissue	tongue	CharRiv	CR1	D1	6	74	47	46	61	1.86923172	1.672097858	1.662757832	1.785329835
tissue__tongue_CharRiv_CR1_D1_07	84	tissue	tongue	CharRiv	CR1	D1	7	87	45	41	62	1.939519253	1.653212514	1.612783857	1.792391689
tissue__cecum__CharRiv_CR1_D2_01	85	tissue	cecum	CharRiv	CR1	D2	1	186	77	52	67	2.269512944	1.886490725	1.716003344	1.826074803
tissue__cecum__CharRiv_CR1_D2_02	86	tissue	cecum	CharRiv	CR1	D2	2	160	89	59	60	2.204119983	1.949390007	1.770852012	1.77815125
tissue__cecum__CharRiv_CR1_D2_03	87	tissue	cecum	CharRiv	CR1	D2	3	178	81	49	58	2.250420002	1.908485019	1.69019608	1.763427994
tissue__cecum__CharRiv_CR1_D2_04	88	tissue	cecum	CharRiv	CR1	D2	4	83	45	43	58	1.919078092	1.653212514	1.633468456	1.763427994
tissue__cecum__CharRiv_CR1_D2_05	89	tissue	cecum	CharRiv	CR1	D2	5	109	59	48	67	2.037426498	1.770852012	1.681241237	1.826074803
tissue__cecum__CharRiv_CR1_D2_06	90	tissue	cecum	CharRiv	CR1	D2	6	73	44	32	48	1.86332286	1.643452676	1.505149978	1.681241237
tissue__cecum__CharRiv_CR1_D2_07	91	tissue	cecum	CharRiv	CR1	D2	7	100	60	47	60	2	1.77815125	1.672097858	1.77815125
control_homog__XXXXXXX_XXX_D2_56	92	control	homog	XXXXXXX	XXX	D2	56								
tissue__lung___CharRiv_CR1_D2_01	93	tissue	lung	CharRiv	CR1	D2	1	186	77	52	67	2.269512944	1.886490725	1.716003344	1.826074803
tissue__lung___CharRiv_CR1_D2_02	94	tissue	lung	CharRiv	CR1	D2	2	160	89	59	60	2.204119983	1.949390007	1.770852012	1.77815125
tissue__lung___CharRiv_CR1_D2_03	95	tissue	lung	CharRiv	CR1	D2	3	178	81	49	58	2.250420002	1.908485019	1.69019608	1.763427994
tissue__lung___CharRiv_CR1_D2_04	96	tissue	lung	CharRiv	CR1	D2	4	83	45	43	58	1.919078092	1.653212514	1.633468456	1.763427994
tissue__lung___CharRiv_CR1_D2_05	97	tissue	lung	CharRiv	CR1	D2	5	109	59	48	67	2.037426498	1.770852012	1.681241237	1.826074803
tissue__lung___CharRiv_CR1_D2_06	98	tissue	lung	CharRiv	CR1	D2	6	73	44	32	48	1.86332286	1.643452676	1.505149978	1.681241237
tissue__lung___CharRiv_CR1_D2_07	99	tissue	lung	CharRiv	CR1	D2	7	100	60	47	60	2	1.77815125	1.672097858	1.77815125
tissue__tongue_CharRiv_CR1_D2_01	100	tissue	tongue	CharRiv	CR1	D2	1	186	77	52	67	2.269512944	1.886490725	1.716003344	1.826074803
tissue__tongue_CharRiv_CR1_D2_02	101	tissue	tongue	CharRiv	CR1	D2	2	160	89	59	60	2.204119983	1.949390007	1.770852012	1.77815125
tissue__tongue_CharRiv_CR1_D2_03	102	tissue	tongue	CharRiv	CR1	D2	3	178	81	49	58	2.250420002	1.908485019	1.69019608	1.763427994
tissue__tongue_CharRiv_CR1_D2_04	103	tissue	tongue	CharRiv	CR1	D2	4	83	45	43	58	1.919078092	1.653212514	1.633468456	1.763427994
tissue__tongue_CharRiv_CR1_D2_05	104	tissue	tongue	CharRiv	CR1	D2	5	109	59	48	67	2.037426498	1.770852012	1.681241237	1.826074803
tissue__tongue_CharRiv_CR1_D2_06	105	tissue	tongue	CharRiv	CR1	D2	6	73	44	32	48	1.86332286	1.643452676	1.505149978	1.681241237
tissue__tongue_CharRiv_CR1_D2_07	106	tissue	tongue	CharRiv	CR1	D2	7	100	60	47	60	2	1.77815125	1.672097858	1.77815125
tissue__cecum__CharRiv_CR2_D1_01	107	tissue	cecum	CharRiv	CR2	D1	1	162	57	36	42	2.209515015	1.755874856	1.556302501	1.62324929
tissue__cecum__CharRiv_CR2_D1_02	108	tissue	cecum	CharRiv	CR2	D1	2	118	65	41	48	2.071882007	1.812913357	1.612783857	1.681241237
tissue__cecum__CharRiv_CR2_D1_03	109	tissue	cecum	CharRiv	CR2	D1	3	125	69	30	38	2.096910013	1.838849091	1.477121255	1.579783597
tissue__cecum__CharRiv_CR2_D1_04	110	tissue	cecum	CharRiv	CR2	D1	4	101	54	39	71	2.004321374	1.73239376	1.591064607	1.851258349
tissue__cecum__CharRiv_CR2_D1_05	111	tissue	cecum	CharRiv	CR2	D1	5	70	59	37	65	1.84509804	1.770852012	1.568201724	1.812913357
tissue__cecum__CharRiv_CR2_D1_06	112	tissue	cecum	CharRiv	CR2	D1	6	75	63	43	70	1.875061263	1.799340549	1.633468456	1.84509804
tissue__cecum__CharRiv_CR2_D1_07	113	tissue	cecum	CharRiv	CR2	D1	7	116	54	33	65	2.064457989	1.73239376	1.51851394	1.812913357
control_homog__CharRiv_CR2_D1_01	114	control	homog	CharRiv	CR2	D1	1								
tissue__lung___CharRiv_CR2_D1_01	115	tissue	lung	CharRiv	CR2	D1	1	162	57	36	42	2.209515015	1.755874856	1.556302501	1.62324929
tissue__lung___CharRiv_CR2_D1_02	116	tissue	lung	CharRiv	CR2	D1	2	118	65	41	48	2.071882007	1.812913357	1.612783857	1.681241237
tissue__lung___CharRiv_CR2_D1_03	117	tissue	lung	CharRiv	CR2	D1	3	125	69	30	38	2.096910013	1.838849091	1.477121255	1.579783597
tissue__lung___CharRiv_CR2_D1_04	118	tissue	lung	CharRiv	CR2	D1	4	101	54	39	71	2.004321374	1.73239376	1.591064607	1.851258349
tissue__lung___CharRiv_CR2_D1_05	119	tissue	lung	CharRiv	CR2	D1	5	70	59	37	65	1.84509804	1.770852012	1.568201724	1.812913357
tissue__lung___CharRiv_CR2_D1_06	120	tissue	lung	CharRiv	CR2	D1	6	75	63	43	70	1.875061263	1.799340549	1.633468456	1.84509804
tissue__lung___CharRiv_CR2_D1_07	121	tissue	lung	CharRiv	CR2	D1	7	116	54	33	65	2.064457989	1.73239376	1.51851394	1.812913357
tissue__tongue_CharRiv_CR2_D1_01	122	tissue	tongue	CharRiv	CR2	D1	1	162	57	36	42	2.209515015	1.755874856	1.556302501	1.62324929
tissue__tongue_CharRiv_CR2_D1_02	123	tissue	tongue	CharRiv	CR2	D1	2	118	65	41	48	2.071882007	1.812913357	1.612783857	1.681241237
tissue__tongue_CharRiv_CR2_D1_03	124	tissue	tongue	CharRiv	CR2	D1	3	125	69	30	38	2.096910013	1.838849091	1.477121255	1.579783597
tissue__tongue_CharRiv_CR2_D1_04	125	tissue	tongue	CharRiv	CR2	D1	4	101	54	39	71	2.004321374	1.73239376	1.591064607	1.851258349
tissue__tongue_CharRiv_CR2_D1_05	126	tissue	tongue	CharRiv	CR2	D1	5	70	59	37	65	1.84509804	1.770852012	1.568201724	1.812913357
tissue__tongue_CharRiv_CR2_D1_06	127	tissue	tongue	CharRiv	CR2	D1	6	75	63	43	70	1.875061263	1.799340549	1.633468456	1.84509804
tissue__tongue_CharRiv_CR2_D1_07	128	tissue	tongue	CharRiv	CR2	D1	7	116	54	33	65	2.064457989	1.73239376	1.51851394	1.812913357
tissue__cecum__CharRiv_CR2_D2_01	129	tissue	cecum	CharRiv	CR2	D2	1	177	78	41	43	2.247973266	1.892094603	1.612783857	1.633468456
tissue__cecum__CharRiv_CR2_D2_02	130	tissue	cecum	CharRiv	CR2	D2	2	118	69	38	42	2.071882007	1.838849091	1.579783597	1.62324929
tissue__cecum__CharRiv_CR2_D2_03	131	tissue	cecum	CharRiv	CR2	D2	3	113	104	47	48	2.053078443	2.017033339	1.672097858	1.681241237
tissue__cecum__CharRiv_CR2_D2_04	132	tissue	cecum	CharRiv	CR2	D2	4								
tissue__cecum__CharRiv_CR2_D2_05	133	tissue	cecum	CharRiv	CR2	D2	5	81	73	45	71	1.908485019	1.86332286	1.653212514	1.851258349
tissue__cecum__CharRiv_CR2_D2_06	134	tissue	cecum	CharRiv	CR2	D2	6	91	64	42	58	1.959041392	1.806179974	1.62324929	1.763427994
tissue__cecum__CharRiv_CR2_D2_07	135	tissue	cecum	CharRiv	CR2	D2	7	92	65	43	68	1.963787827	1.812913357	1.633468456	1.832508913
control_homog__CharRiv_CR2_D2_02	136	control	homog	CharRiv	CR2	D2	2								
tissue__lung___CharRiv_CR2_D2_01	137	tissue	lung	CharRiv	CR2	D2	1	177	78	41	43	2.247973266	1.892094603	1.612783857	1.633468456
tissue__lung___CharRiv_CR2_D2_02	138	tissue	lung	CharRiv	CR2	D2	2	118	69	38	42	2.071882007	1.838849091	1.579783597	1.62324929
tissue__lung___CharRiv_CR2_D2_03	139	tissue	lung	CharRiv	CR2	D2	3	113	104	47	48	2.053078443	2.017033339	1.672097858	1.681241237
tissue__lung___CharRiv_CR2_D2_04	140	tissue	lung	CharRiv	CR2	D2	4								
tissue__lung___CharRiv_CR2_D2_05	141	tissue	lung	CharRiv	CR2	D2	5	81	73	45	71	1.908485019	1.86332286	1.653212514	1.851258349
tissue__lung___CharRiv_CR2_D2_06	142	tissue	lung	CharRiv	CR2	D2	6	91	64	42	58	1.959041392	1.806179974	1.62324929	1.763427994
tissue__lung___CharRiv_CR2_D2_07	143	tissue	lung	CharRiv	CR2	D2	7	92	65	43	68	1.963787827	1.812913357	1.633468456	1.832508913
tissue__tongue_CharRiv_CR2_D2_01	144	tissue	tongue	CharRiv	CR2	D2	1	177	78	41	43	2.247973266	1.892094603	1.612783857	1.633468456
tissue__tongue_CharRiv_CR2_D2_02	145	tissue	tongue	CharRiv	CR2	D2	2	118	69	38	42	2.071882007	1.838849091	1.579783597	1.62324929
tissue__tongue_CharRiv_CR2_D2_03	146	tissue	tongue	CharRiv	CR2	D2	3	113	104	47	48	2.053078443	2.017033339	1.672097858	1.681241237
tissue__tongue_CharRiv_CR2_D2_04	147	tissue	tongue	CharRiv	CR2	D2	4								
tissue__tongue_CharRiv_CR2_D2_05	148	tissue	tongue	CharRiv	CR2	D2	5	81	73	45	71	1.908485019	1.86332286	1.653212514	1.851258349
tissue__tongue_CharRiv_CR2_D2_06	149	tissue	tongue	CharRiv	CR2	D2	6	91	64	42	58	1.959041392	1.806179974	1.62324929	1.763427994
tissue__tongue_CharRiv_CR2_D2_07	150	tissue	tongue	CharRiv	CR2	D2	7	92	65	43	68	1.963787827	1.812913357	1.633468456	1.832508913
tissue__cecum__CharRiv_CR3_D1_01	151	tissue	cecum	CharRiv	CR3	D1	1	75	37	25	34	1.875061263	1.568201724	1.397940009	1.531478917
tissue__cecum__CharRiv_CR3_D1_02	152	tissue	cecum	CharRiv	CR3	D1	2	54	24	21	28	1.73239376	1.380211242	1.322219295	1.447158031
tissue__cecum__CharRiv_CR3_D1_03	153	tissue	cecum	CharRiv	CR3	D1	3	78	21	23	30	1.892094603	1.322219295	1.361727836	1.477121255
tissue__cecum__CharRiv_CR3_D1_04	154	tissue	cecum	CharRiv	CR3	D1	4	75	12	25	29	1.875061263	1.079181246	1.397940009	1.462397998
tissue__cecum__CharRiv_CR3_D1_05	155	tissue	cecum	CharRiv	CR3	D1	5	68	45	25	41	1.832508913	1.653212514	1.397940009	1.612783857
tissue__cecum__CharRiv_CR3_D1_06	156	tissue	cecum	CharRiv	CR3	D1	6	63	43	24	36	1.799340549	1.633468456	1.380211242	1.556302501
tissue__cecum__CharRiv_CR3_D1_07	157	tissue	cecum	CharRiv	CR3	D1	7								
control_homog__CharRiv_CR3_D1_03	158	control	homog	CharRiv	CR3	D1	3								
tissue__lung___CharRiv_CR3_D1_01	159	tissue	lung	CharRiv	CR3	D1	1	75	37	25	34	1.875061263	1.568201724	1.397940009	1.531478917
tissue__lung___CharRiv_CR3_D1_02	160	tissue	lung	CharRiv	CR3	D1	2	54	24	21	28	1.73239376	1.380211242	1.322219295	1.447158031
tissue__lung___CharRiv_CR3_D1_03	161	tissue	lung	CharRiv	CR3	D1	3	78	21	23	30	1.892094603	1.322219295	1.361727836	1.477121255
tissue__lung___CharRiv_CR3_D1_04	162	tissue	lung	CharRiv	CR3	D1	4	75	12	25	29	1.875061263	1.079181246	1.397940009	1.462397998
tissue__lung___CharRiv_CR3_D1_05	163	tissue	lung	CharRiv	CR3	D1	5	68	45	25	41	1.832508913	1.653212514	1.397940009	1.612783857
tissue__lung___CharRiv_CR3_D1_06	164	tissue	lung	CharRiv	CR3	D1	6	63	43	24	36	1.799340549	1.633468456	1.380211242	1.556302501
tissue__lung___CharRiv_CR3_D1_07	165	tissue	lung	CharRiv	CR3	D1	7								
tissue__tongue_CharRiv_CR3_D1_01	166	tissue	tongue	CharRiv	CR3	D1	1	75	37	25	34	1.875061263	1.568201724	1.397940009	1.531478917
tissue__tongue_CharRiv_CR3_D1_02	167	tissue	tongue	CharRiv	CR3	D1	2	54	24	21	28	1.73239376	1.380211242	1.322219295	1.447158031
tissue__tongue_CharRiv_CR3_D1_03	168	tissue	tongue	CharRiv	CR3	D1	3	78	21	23	30	1.892094603	1.322219295	1.361727836	1.477121255
tissue__tongue_CharRiv_CR3_D1_04	169	tissue	tongue	CharRiv	CR3	D1	4	75	12	25	29	1.875061263	1.079181246	1.397940009	1.462397998
tissue__tongue_CharRiv_CR3_D1_05	170	tissue	tongue	CharRiv	CR3	D1	5	68	45	25	41	1.832508913	1.653212514	1.397940009	1.612783857
tissue__tongue_CharRiv_CR3_D1_06	171	tissue	tongue	CharRiv	CR3	D1	6	63	43	24	36	1.799340549	1.633468456	1.380211242	1.556302501
tissue__tongue_CharRiv_CR3_D1_07	172	tissue	tongue	CharRiv	CR3	D1	7								
tissue__cecum__CharRiv_CR3_D2_01	173	tissue	cecum	CharRiv	CR3	D2	1	127	18	24	30	2.103803721	1.255272505	1.380211242	1.477121255
tissue__cecum__CharRiv_CR3_D2_02	174	tissue	cecum	CharRiv	CR3	D2	2	201	4	17	31	2.303196057	0.602059991	1.230448921	1.491361694
tissue__cecum__CharRiv_CR3_D2_03	175	tissue	cecum	CharRiv	CR3	D2	3	91	57	27	42	1.959041392	1.755874856	1.431363764	1.62324929
tissue__cecum__CharRiv_CR3_D2_04	176	tissue	cecum	CharRiv	CR3	D2	4	93	40	27	41	1.968482949	1.602059991	1.431363764	1.612783857
tissue__cecum__CharRiv_CR3_D2_05	177	tissue	cecum	CharRiv	CR3	D2	5	82	54	32	37	1.913813852	1.73239376	1.505149978	1.568201724
tissue__cecum__CharRiv_CR3_D2_06	178	tissue	cecum	CharRiv	CR3	D2	6	91	29	27	37	1.959041392	1.462397998	1.431363764	1.568201724
tissue__cecum__CharRiv_CR3_D2_07	179	tissue	cecum	CharRiv	CR3	D2	7	87	24	24	37	1.939519253	1.380211242	1.380211242	1.568201724
control_homog__CharRiv_CR3_D2_04	180	control	homog	CharRiv	CR3	D2	4								
tissue__lung___CharRiv_CR3_D2_01	181	tissue	lung	CharRiv	CR3	D2	1	127	18	24	30	2.103803721	1.255272505	1.380211242	1.477121255
tissue__lung___CharRiv_CR3_D2_02	182	tissue	lung	CharRiv	CR3	D2	2	201	4	17	31	2.303196057	0.602059991	1.230448921	1.491361694
tissue__lung___CharRiv_CR3_D2_03	183	tissue	lung	CharRiv	CR3	D2	3	91	57	27	42	1.959041392	1.755874856	1.431363764	1.62324929
tissue__lung___CharRiv_CR3_D2_04	184	tissue	lung	CharRiv	CR3	D2	4	93	40	27	41	1.968482949	1.602059991	1.431363764	1.612783857
tissue__lung___CharRiv_CR3_D2_05	185	tissue	lung	CharRiv	CR3	D2	5	82	54	32	37	1.913813852	1.73239376	1.505149978	1.568201724
tissue__lung___CharRiv_CR3_D2_06	186	tissue	lung	CharRiv	CR3	D2	6	91	29	27	37	1.959041392	1.462397998	1.431363764	1.568201724
tissue__lung___CharRiv_CR3_D2_07	187	tissue	lung	CharRiv	CR3	D2	7	87	24	24	37	1.939519253	1.380211242	1.380211242	1.568201724
tissue__tongue_CharRiv_CR3_D2_01	188	tissue	tongue	CharRiv	CR3	D2	1	127	18	24	30	2.103803721	1.255272505	1.380211242	1.477121255
tissue__tongue_CharRiv_CR3_D2_02	189	tissue	tongue	CharRiv	CR3	D2	2	201	4	17	31	2.303196057	0.602059991	1.230448921	1.491361694
tissue__tongue_CharRiv_CR3_D2_03	190	tissue	tongue	CharRiv	CR3	D2	3	91	57	27	42	1.959041392	1.755874856	1.431363764	1.62324929
tissue__tongue_CharRiv_CR3_D2_04	191	tissue	tongue	CharRiv	CR3	D2	4	93	40	27	41	1.968482949	1.602059991	1.431363764	1.612783857
tissue__tongue_CharRiv_CR3_D2_05	192	tissue	tongue	CharRiv	CR3	D2	5	82	54	32	37	1.913813852	1.73239376	1.505149978	1.568201724
tissue__tongue_CharRiv_CR3_D2_06	193	tissue	tongue	CharRiv	CR3	D2	6	91	29	27	37	1.959041392	1.462397998	1.431363764	1.568201724
tissue__tongue_CharRiv_CR3_D2_07	194	tissue	tongue	CharRiv	CR3	D2	7	87	24	24	37	1.939519253	1.380211242	1.380211242	1.568201724
control_isolat_XXXXXXX_XXX_XX_10	195	control	isolat	XXXXXXX	XXX	XX	10								
control_isolat_XXXXXXX_XXX_XX_11	196	control	isolat	XXXXXXX	XXX	XX	11								
control_isolat_XXXXXXX_XXX_XX_12	197	control	isolat	XXXXXXX	XXX	XX	12								
control_isolat_XXXXXXX_XXX_XX_13	198	control	isolat	XXXXXXX	XXX	XX	13								
control_isolat_XXXXXXX_XXX_XX_14	199	control	isolat	XXXXXXX	XXX	XX	14								
control_isolat_XXXXXXX_XXX_XX_15	200	control	isolat	XXXXXXX	XXX	XX	15								
control_isolat_XXXXXXX_XXX_XX_16	201	control	isolat	XXXXXXX	XXX	XX	16								
control_isolat_XXXXXXX_XXX_XX_17	202	control	isolat	XXXXXXX	XXX	XX	17								
control_isolat_XXXXXXX_XXX_XX_18	203	control	isolat	XXXXXXX	XXX	XX	18								
control_isolat_XXXXXXX_XXX_XX_01	204	control	isolat	XXXXXXX	XXX	XX	1								
control_isolat_XXXXXXX_XXX_XX_02	205	control	isolat	XXXXXXX	XXX	XX	2								
control_isolat_XXXXXXX_XXX_XX_03	206	control	isolat	XXXXXXX	XXX	XX	3								
control_isolat_XXXXXXX_XXX_XX_04	207	control	isolat	XXXXXXX	XXX	XX	4								
control_isolat_XXXXXXX_XXX_XX_05	208	control	isolat	XXXXXXX	XXX	XX	5								
control_isolat_XXXXXXX_XXX_XX_06	209	control	isolat	XXXXXXX	XXX	XX	6								
control_isolat_XXXXXXX_XXX_XX_07	210	control	isolat	XXXXXXX	XXX	XX	7								
control_isolat_XXXXXXX_XXX_XX_08	211	control	isolat	XXXXXXX	XXX	XX	8								
