specimen	control	tissue_type	duration	mouse
tissue__tongue_D2_2_01	tissue	tongue	D2	2
tissue__cecum__D2_2_02	tissue	cecum	D2	2
tissue__colon__D2_2_02	tissue	colon	D2	2
tissue__nasal__D2_2_02	tissue	nasal	D2	2
tissue__tongue_D2_2_02	tissue	tongue	D2	2
tissue__cecum__D2_2_03	tissue	cecum	D2	2
tissue__colon__D2_2_03	tissue	colon	D2	2
tissue__nasal__D2_2_03	tissue	nasal	D2	2
tissue__tongue_D2_2_03	tissue	tongue	D2	2
tissue__cecum__D2_2_04	tissue	cecum	D2	2
tissue__colon__D2_2_04	tissue	colon	D2	2
tissue__nasal__D2_2_04	tissue	nasal	D2	2
tissue__tongue_D2_2_04	tissue	tongue	D2	2
tissue__cecum__D2_2_05	tissue	cecum	D2	2
tissue__colon__D2_2_05	tissue	colon	D2	2
tissue__nasal__D2_2_05	tissue	nasal	D2	2
tissue__tongue_D2_2_05	tissue	tongue	D2	2
tissue__cecum__D3_2_01	tissue	cecum	D3	2
tissue__colon__D3_2_01	tissue	colon	D3	2
tissue__nasal__D3_2_01	tissue	nasal	D3	2
tissue__tongue_D3_2_01	tissue	tongue	D3	2
tissue__cecum__D3_2_02	tissue	cecum	D3	2
tissue__colon__D3_2_02	tissue	colon	D3	2
tissue__nasal__D3_2_02	tissue	nasal	D3	2
tissue__tongue_D3_2_02	tissue	tongue	D3	2
tissue__cecum__D3_2_03	tissue	cecum	D3	2
tissue__colon__D3_2_03	tissue	colon	D3	2
tissue__nasal__D3_2_03	tissue	nasal	D3	2
tissue__tongue_D3_2_03	tissue	tongue	D3	2
tissue__cecum__D3_2_04	tissue	cecum	D3	2
tissue__colon__D3_2_04	tissue	colon	D3	2
tissue__nasal__D3_2_04	tissue	nasal	D3	2
tissue__tongue_D3_2_04	tissue	tongue	D3	2
tissue__cecum__D3_2_05	tissue	cecum	D3	2
tissue__colon__D3_2_05	tissue	colon	D3	2
tissue__nasal__D3_2_05	tissue	nasal	D3	2
tissue__tongue_D3_2_05	tissue	tongue	D3	2
control_ISOCTL_XX_X_01	control	ISOCTL		X
control_ISOCTL_XX_X_02	control	ISOCTL		X
control_ISOCTL_XX_X_03	control	ISOCTL		X
control_ISOCTL_XX_X_04	control	ISOCTL		X
control_ISOCTL_XX_X_05	control	ISOCTL		X
control_ISOCTL_XX_X_06	control	ISOCTL		X
control_ISOCTL_XX_X_07	control	ISOCTL		X
control_ISOCTL_XX_X_08	control	ISOCTL		X
mock____mock___XX_X_01	mock	mock		X
mock____mock___XX_X_02	mock	mock		X
mock____mock___XX_X_03	mock	mock		X
mock____mock___XX_X_04	mock	mock		X
control_water__XX_X_01	control	water		X
control_water__XX_X_02	control	water		X
control_water__XX_X_03	control	water		X
control_water__XX_X_04	control	water		X
